plot_id,study,age_cat,ymin,lower,middle,upper,ymax,title
plot_3,Senegal,>59,169.61680453906598,388.1073321781725,521.8351077688446,689.6714148085994,1144.5079175220067,ONNV VLP
plot_3,French Guiana,18-39,36.206726460853695,88.62946931359106,125.74602231347782,195.2176827237109,626.2519537648919,ONNV VLP
plot_3,French Guiana,40-59,46.12396221146259,110.51390105385546,165.8694384822286,252.44566334994715,845.0347800333042,ONNV VLP
plot_3,French Guiana,>59,72.309429990002,140.5759644488158,157.73521657352723,237.06369525975535,398.4996053162258,ONNV VLP
plot_3,New Caledonia,18-39,33.153990772809195,88.15277858210773,115.15567088843744,174.4420179037737,483.7530060075221,ONNV VLP
plot_3,New Caledonia,40-59,39.99357446193538,98.0795786822786,135.92096157206626,194.13414433289748,484.80157658897184,ONNV VLP
plot_3,New Caledonia,>59,65.00343256734944,100.60828587663065,172.8705266298623,228.92375847952596,615.3581620710797,ONNV VLP
plot_4,Peru,<5,34.588834741614995,56.565363596638505,75.2320456201826,123.6565890047041,328.4651287123083,MAYV E2
plot_4,Peru,5-9,28.33784051120265,60.270557515243254,79.62211655710865,116.10883840563021,299.8307392859728,MAYV E2
plot_4,Peru,10-17,33.75536884422668,67.58260720574329,91.3003097341169,159.06181087255166,519.2719610424351,MAYV E2
plot_4,Peru,18-39,40.00636307463905,99.05066720176696,150.8573274272848,346.39438030241604,2187.872379119471,MAYV E2
plot_4,Peru,40-59,41.673294869415656,128.91193993696672,279.8567520992192,1235.3277164616593,6737.939746559726,MAYV E2
plot_4,Peru,>59,59.791010944455785,273.07330952708776,684.679482026083,1554.9829015487685,11656.641427565939,MAYV E2
plot_4,Senegal,<5,32.29223305044595,40.36529131305744,44.762761542191306,53.51768588210196,80.7305826261149,MAYV E2
plot_4,Senegal,5-9,140.19555964257958,262.6448459126806,340.3142087691765,417.93359143564817,819.9084472041617,MAYV E2
plot_4,Senegal,10-17,140.41161238770758,292.7333232121113,386.61715442982495,581.2555704681834,1609.5073609648641,MAYV E2
plot_4,Senegal,18-39,40.36529131305744,389.94975723884284,690.4457228021078,1771.193600445494,5501.484713465788,MAYV E2
plot_4,Senegal,40-59,191.65975242276673,462.250697642048,843.3331552734295,1605.2805716175174,6641.769699292806,MAYV E2
plot_4,Senegal,>59,215.90710343272667,526.2270687548927,784.4784820749746,1266.5185006399588,4650.378184742919,MAYV E2
plot_4,French Guiana,18-39,41.04341779755903,143.50926601427872,216.41074838712942,541.3109396127625,3852.4582291729494,MAYV E2
plot_4,French Guiana,40-59,43.77273187397837,182.18165373371886,428.56431795132994,2825.0474166424965,13582.659199388114,MAYV E2
plot_4,French Guiana,>59,116.45664145816842,266.6925803786381,1697.748077481481,2447.136963002395,8529.234124826773,MAYV E2
plot_4,New Caledonia,18-39,71.57184563450029,139.21301470570438,174.0698539483115,260.06433139051376,651.5572096983325,MAYV E2
plot_4,New Caledonia,40-59,70.21740518683758,142.58576215206935,204.64482047987718,291.03531192730264,730.2314081013548,MAYV E2
plot_4,New Caledonia,>59,96.92080779451453,172.80604927702498,239.27773189570186,359.3699783017362,578.3641709540626,MAYV E2
plot_5,Peru,<5,45.09131909029384,116.42688084791922,345.0914364149128,3387.1739475874715,21769.614721087903,DENV1 VLP
plot_5,Peru,5-9,34.74568237117877,85.95787761480216,151.13632111781038,2900.6688583648224,20949.614828972233,DENV1 VLP
plot_5,Peru,10-17,29.48118504221229,150.09421542575254,3160.4685656602346,10350.630735230054,25483.929821383106,DENV1 VLP
plot_5,Peru,18-39,870.3634077432354,5398.828173698192,13002.8519339071,18304.930071133367,26518.849081935765,DENV1 VLP
plot_5,Peru,40-59,4569.1296437075935,10645.637334350227,15207.905253860028,18768.286016139642,25596.67825461078,DENV1 VLP
