term,DENV4 VLP,DENV3 VLP,DENV1 VLP,DENV2 VLP,YFV E,DENV1 NS1,DENV2 NS1,DENV3 NS1,JEV E,DENV4 NS1,ZIKV VLP,ZIKVSU NS1,USUV NS1,WNV NS1,YFV NS1,ZIKVU NS1,JEV NS1,WNV EDIII,DENV3 EDIII,DENV1 EDIII,DENV4 EDIII,DENV2 EDIII,ZIKVAS EDIII
ZIKV VLP,0.8004195487523977,0.7718494549403022,0.7872403197126212,0.7857461308772951,0.7829411397310498,0.7552431758825651,0.7588250890087223,0.7557425302794695,0.8639326725826347,0.7315355477285773,0,0.782576212277485,0.7166120329052621,0.7212497918885061,0.5956461777317921,0.7743543020518696,0.6787476854308024,0.45045889252943444,0.31853207511996884,0.35182334446155505,0.3138754042636756,0.22708870469006784,0.25400380239297443
ZIKVSU NS1,0.5408501172061536,0.51040871945065025,0.5222623741982914,0.5271435369675583,0.5420282375034765,0.6334488886138837,0.6373925547584927,0.6491506013718478,0.6968236617578859,0.6043858167132364,0.782576212277485,0,0.752466830068835,0.7474020627553238,0.5975834494465376,0.9247748302746812,0.7104822993865711,0.47549897260558804,0.3074899064889671,0.33246086351108073,0.30733193735620035,0.20319237651889155,0.2625790706039861
USUV NS1,0.5297879827163481,0.4960281442375613,0.5104692916805608,0.5081989850666071,0.5316934957474074,0.6824506123992271,0.6821263679081719,0.714964250280098,0.6832829928392794,0.6913370807385326,0.7166120329052621,0.752466830068835,0,0.9461615253128428,0.6869988515617201,0.7891037245995405,0.9110630164808282,0.6227940970542312,0.39854537712745364,0.45398796907744055,0.39719771592901504,0.2772544333892133,0.3795368193612145
WNV NS1,0.5220944247290734,0.488189011353875,0.5028008169442275,0.4990456319104488,0.5182172962177232,0.6944438285702904,0.6978283623074045,0.7334450395769841,0.6742381713147966,0.7214586007142189,0.7212497918885061,0.7474020627553238,0.9461615253128428,0,0.6561365035456248,0.7942874394465219,0.8983778069806545,0.6382695046659423,0.39356348931767005,0.4619357123724235,0.4113624664521123,0.2738442411315275,0.40118414120735707
YFV NS1,0.5284104221042646,0.5083271819834594,0.5151752849963545,0.5141817720982174,0.5743494211034647,0.5219611933498621,0.5253391533588497,0.547377324401982,0.6221927511391615,0.5275146554684477,0.5956461777317921,0.5975834494465376,0.6869988515617201,0.6561365035456248,0,0.5941823064447197,0.6618059270495055,0.38254334481083935,0.34651520952720644,0.32750982553488545,0.3012567306198077,0.24809023999867272,0.17821618836863198
ZIKVU NS1,0.4662132074949357,0.43013389659278606,0.4492905129399398,0.44692955491482017,0.47241933934390357,0.5992981712196274,0.6027304878335861,0.6181788254583148,0.6148752217717469,0.5876479302948525,0.7743543020518696,0.9247748302746812,0.7891037245995405,0.7942874394465219,0.5941823064447197,0,0.7464659407258738,0.6083535702063732,0.36695838656193913,0.4297282698861504,0.37558951297383314,0.23829079315213691,0.37080758072566805
JEV NS1,0.47527697790967255,0.43847832202479986,0.4526581434837623,0.4558341481985085,0.4866171010674677,0.6109773706938296,0.6203926783952479,0.6467006999697964,0.6365174218364054,0.6490060279404172,0.6787476854308024,0.7104822993865711,0.9110630164808282,0.8983778069806545,0.6618059270495055,0.7464659407258738,0,0.6413387286589298,0.3943242542042834,0.4538911413095305,0.407276141119192,0.2768604137384519,0.41081918146141416
WNV EDIII,0.09387816469218693,0.05470425027709288,0.08084573184060853,0.08066680364156203,0.1198781318859732,0.2955809454846429,0.3057309286040663,0.3205431605960145,0.33055531158201207,0.3536895852350719,0.45045889252943444,0.47549897260558804,0.6227940970542312,0.6382695046659423,0.38254334481083935,0.6083535702063732,0.6413387286589298,0,0.5197939087328808,0.6437843228429716,0.5478647112577929,0.3622691419702798,0.7062603154779611
DENV3 EDIII,0.16991934266535902,0.14935879299024052,0.16252500978347767,0.16053997681938345,0.19237969812275862,0.23260778147440558,0.2436567362974265,0.2508739187973854,0.2977835366455983,0.25588718443682484,0.31853207511996884,0.3074899064889671,0.39854537712745364,0.39356348931767005,0.34651520952720644,0.36695838656193913,0.3943242542042834,0.5197939087328808,0,0.6203665041267055,0.5219992372885672,0.5930943486055739,0.4943404728524847
DENV1 EDIII,0.12770954093308107,0.10174164939268583,0.12509686044623977,0.12004307868016656,0.15771097304419696,0.2482767440481895,0.25616901857375507,0.26000990133861246,0.29901946924576606,0.2740776075786518,0.35182334446155505,0.33246086351108073,0.45398796907744055,0.4619357123724235,0.32750982553488545,0.4297282698861504,0.4538911413095305,0.6437843228429716,0.6203665041267055,0,0.5907380207032291,0.5096604371823932,0.5588546901311837
