antigen,site,bin_id,xmin,xmax,count
ZIKV VLP,New Caledonia,8,4.738092529008774,4.995233245234514,21
ZIKV VLP,New Caledonia,9,4.995233245234514,5.252373961460254,33
ZIKV VLP,New Caledonia,10,5.252373961460254,5.509514677685994,32
ZIKV VLP,New Caledonia,11,5.509514677685994,5.766655393911734,20
ZIKV VLP,New Caledonia,12,5.766655393911734,6.023796110137475,35
ZIKV VLP,New Caledonia,13,6.023796110137475,6.280936826363215,58
ZIKV VLP,New Caledonia,14,6.280936826363215,6.5380775425889555,48
ZIKV VLP,New Caledonia,15,6.5380775425889555,6.795218258814696,55
ZIKV VLP,New Caledonia,16,6.795218258814696,7.052358975040436,74
ZIKV VLP,New Caledonia,17,7.052358975040436,7.3094996912661765,93
ZIKV VLP,New Caledonia,18,7.3094996912661765,7.566640407491916,61
ZIKV VLP,New Caledonia,19,7.566640407491916,7.823781123717657,26
ZIKV VLP,New Caledonia,20,7.823781123717657,8.080921839943397,7
ZIKV VLP,New Caledonia,21,8.080921839943397,8.338062556169138,1
ZIKV VLP,New Caledonia,22,8.338062556169138,8.595203272394876,0
ZIKV VLP,New Caledonia,23,8.595203272394876,8.852343988620618,0
ZIKV VLP,New Caledonia,24,8.852343988620618,9.10948470484636,0
ZIKV VLP,New Caledonia,25,9.10948470484636,9.366625421072097,0
ZIKV VLP,New Caledonia,26,9.366625421072097,9.623766137297839,0
ZIKV VLP,New Caledonia,27,9.623766137297839,9.880906853523578,0
ZIKV VLP,New Caledonia,28,9.880906853523578,10.138047569749318,0
ZIKV VLP,New Caledonia,29,10.138047569749318,10.39518828597506,0
ZIKV VLP,New Caledonia,30,10.39518828597506,10.6523290022008,0
ZIKV VLP,Peru,1,2.938107515428592,3.195248231654332,1
ZIKV VLP,Peru,2,3.195248231654332,3.4523889478800722,4
ZIKV VLP,Peru,3,3.4523889478800722,3.709529664105813,12
ZIKV VLP,Peru,4,3.709529664105813,3.9666703803315526,43
ZIKV VLP,Peru,5,3.9666703803315526,4.223811096557293,53
ZIKV VLP,Peru,6,4.223811096557293,4.480951812783033,47
ZIKV VLP,Peru,7,4.480951812783033,4.738092529008774,41
ZIKV VLP,Peru,8,4.738092529008774,4.995233245234514,31
ZIKV VLP,Peru,9,4.995233245234514,5.252373961460254,34
ZIKV VLP,Peru,10,5.252373961460254,5.509514677685994,25
ZIKV VLP,Peru,11,5.509514677685994,5.766655393911734,45
ZIKV VLP,Peru,12,5.766655393911734,6.023796110137475,49
ZIKV VLP,Peru,13,6.023796110137475,6.280936826363215,44
ZIKV VLP,Peru,14,6.280936826363215,6.5380775425889555,50
ZIKV VLP,Peru,15,6.5380775425889555,6.795218258814696,63
ZIKV VLP,Peru,16,6.795218258814696,7.052358975040436,96
ZIKV VLP,Peru,17,7.052358975040436,7.3094996912661765,105
ZIKV VLP,Peru,18,7.3094996912661765,7.566640407491916,72
ZIKV VLP,Peru,19,7.566640407491916,7.823781123717657,47
ZIKV VLP,Peru,20,7.823781123717657,8.080921839943397,15
ZIKV VLP,Peru,21,8.080921839943397,8.338062556169138,3
ZIKV VLP,Peru,22,8.338062556169138,8.595203272394876,0
ZIKV VLP,Peru,23,8.595203272394876,8.852343988620618,0
ZIKV VLP,Peru,24,8.852343988620618,9.10948470484636,0
ZIKV VLP,Peru,25,9.10948470484636,9.366625421072097,0
