antigen,site,age_cat,male,ymin,lower,middle,upper,ymax,n
DENV1 VLP,New Caledonia,40-59,Male,4.078410848089601,8.541242472767655,9.577415948657949,9.890195897556932,10.190089881146926,131
DENV1 VLP,New Caledonia,>59,Female,5.843309198233023,9.552435066574182,9.862437714933444,9.920152333441356,10.091343507541731,25
DENV1 VLP,New Caledonia,>59,Male,4.704413432811705,9.11064299420282,9.657736099248964,9.967427419969075,10.082002188570153,15
DENV1 VLP,Peru,10-17,Female,3.5503370404354637,5.221690121181053,8.10347678565564,9.166962302063586,9.8854198416863,80
DENV1 VLP,Peru,10-17,Male,3.3837522646886615,4.935019809234261,7.715560582076137,9.396803722938978,10.14580332940207,73
DENV1 VLP,Peru,18-39,Female,4.193955636129996,8.50714212183749,9.449821891967726,9.801533133456168,10.18561104524102,219
DENV1 VLP,Peru,18-39,Male,4.8846486188265414,8.816129841098743,9.473852743674495,9.849536209240723,10.150544095167415,76
DENV1 VLP,Peru,40-59,Female,5.550479110532284,9.110637616158396,9.629534747530755,9.830539207000562,10.150217866369392,84
DENV1 VLP,Peru,40-59,Male,4.281204401844775,9.331402385663441,9.629570654129136,9.861450626723089,10.092445735009914,58
DENV1 VLP,Peru,5-9,Female,3.548055315979938,4.3396350252751805,4.931798177822017,8.106567034210201,9.883137397868229,63
DENV1 VLP,Peru,5-9,Male,3.752849728625951,4.499016141666146,5.070855800990377,7.791284707698432,9.949875539929351,63
DENV1 VLP,Peru,<5,Female,3.808689746613509,4.988858077534902,7.299426185102561,8.672818369209262,9.960125303032084,23
DENV1 VLP,Peru,<5,Male,3.8369954175705754,4.765651518218592,5.45080512789046,7.902970345800691,9.988270456372764,33
DENV1 VLP,Peru,>59,Female,5.63633946390093,9.400056565657266,9.690207563839785,9.901057180984303,10.115301325220813,50
DENV1 VLP,Peru,>59,Male,7.532188992743199,9.59733613519115,9.801011850144459,9.91933072106049,10.212386337150551,58
DENV1 VLP,Senegal,10-17,Female,4.354451182256759,5.458547332676623,7.01454733767374,7.966776291127831,9.972749376261689,154
DENV1 VLP,Senegal,10-17,Male,4.149073121592778,5.480513152385392,6.602952361056621,8.0819933491986,9.6418792098783,126
DENV1 VLP,Senegal,18-39,Female,4.533731056670166,7.472947353380765,8.649482961239896,9.268005579589595,9.844782075014722,234
DENV1 VLP,Senegal,18-39,Male,4.719931476067957,7.9117856311937,8.811905468515294,9.31701089438369,9.969949965247192,125
DENV1 VLP,Senegal,40-59,Female,4.932539691560033,8.793769653665294,9.180808508124544,9.488154213393173,9.927082106215025,124
DENV1 VLP,Senegal,40-59,Male,4.982326867404584,9.026390570955806,9.443133879535733,9.629385163197682,9.946271813931912,90
DENV1 VLP,Senegal,5-9,Female,3.577616988704827,5.004830448749092,5.421034781747256,5.946155108361696,9.709267320822246,104
DENV1 VLP,Senegal,5-9,Male,3.309935582959716,5.200924772906524,5.8711323914107,7.506947327324784,9.837313931262784,109
DENV1 VLP,Senegal,<5,Female,3.2157259237939115,4.532220328045348,5.43715585165985,6.496229460528772,8.291306584628673,44
DENV1 VLP,Senegal,<5,Male,3.339205965259829,4.183457862203401,5.024343138324015,5.986650916162018,8.54589189408253,34
DENV1 VLP,Senegal,>59,Female,4.133727551918117,8.869968231464899,9.240747051827345,9.465424346460637,9.88889940366584,42
DENV1 VLP,Senegal,>59,Male,6.914705615309132,9.115132152386144,9.295923826134024,9.49430175696678,9.881969238058929,33
DENV2 EDIII,French Guiana,18-39,Female,4.283892673213138,5.634466112629262,6.2294948695704235,7.26602378352233,9.463293897313832,128
DENV2 EDIII,French Guiana,18-39,Male,3.6936313883157217,5.852949169025363,6.466821624016493,7.429108687786904,9.612761671759694,323
DENV2 EDIII,French Guiana,40-59,Female,5.122429754550612,5.861924850932927,6.637671577808809,7.50577988409509,10.060705000724925,94
DENV2 EDIII,French Guiana,40-59,Male,4.775996006835164,6.080094553472481,6.903815513603483,7.562878214349888,10.6523290022008,227
DENV2 EDIII,French Guiana,>59,Female,5.923398459672706,6.188691779805739,6.453985099938771,6.719278420071804,6.984571740204836,2
DENV2 EDIII,French Guiana,>59,Male,5.505323977724557,5.897123138781314,6.232308611133285,6.832986990618546,8.481870381308307,13
DENV2 EDIII,New Caledonia,18-39,Female,4.544297571789026,5.529787616174509,5.909044522076741,6.160836788634821,9.55889681111604,156
DENV2 EDIII,New Caledonia,18-39,Male,4.411283552693014,5.502611823320794,5.909796472484533,6.321120499566071,7.698401019812868,100
DENV2 EDIII,New Caledonia,40-59,Female,4.771910685977868,5.596735690513013,5.9831226879631085,6.387923852986002,8.00826727705161,173
DENV2 EDIII,New Caledonia,40-59,Male,4.665917422518296,5.592400535601526,5.905458430974109,6.365282632462334,8.848750475218132,131
DENV2 EDIII,New Caledonia,>59,Female,5.106229261956629,5.707818135712434,6.080206918413294,6.908542557888446,8.754100695133463,25
DENV2 EDIII,New Caledonia,>59,Male,4.823816246524461,5.4597043848393785,5.8319145276517395,6.307473531983037,8.758718547610663,15
DENV2 EDIII,Peru,10-17,Female,4.262932938365544,5.253350620219759,5.563273105080976,6.1674938939075314,8.341359590362057,80
