antigen,site,age_cat,ymin,lower,middle,upper,ymax,n
DENV3 NS1,Senegal,18-39,3.5389710110438117,5.742898057549947,6.021530169009263,6.58084185620627,8.834638628150664,359
DENV3 NS1,Senegal,40-59,5.183079932698491,6.1708288035549685,6.712713525843084,7.296177055530471,9.051394286339544,214
DENV3 NS1,Senegal,5-9,3.254866759939915,5.335248765236611,5.61896994853604,5.793267060300855,8.005682111946799,213
DENV3 NS1,Senegal,<5,3.1335059029356476,3.2592241150607673,3.4310743719874264,3.616634882070442,6.217189971362776,78
DENV3 NS1,Senegal,>59,5.206543524460624,6.444432827258595,6.904354076837671,7.450446688368042,8.147775601241857,75
DENV3 VLP,French Guiana,18-39,4.270084055109487,9.324873800424864,9.714402953430383,9.891734557297134,10.270844263307534,451
DENV3 VLP,French Guiana,40-59,5.1952547219975305,9.286993582097573,9.676231615405872,9.839806007017565,10.132632796745636,321
DENV3 VLP,French Guiana,>59,7.380470955717434,9.597696476630018,9.720302876278447,9.811314483931756,10.069249059882477,15
DENV3 VLP,New Caledonia,18-39,4.3822844511944075,8.198659873301114,9.497811514168106,9.856059914695566,10.145459972252866,256
DENV3 VLP,New Caledonia,40-59,4.260237016751566,8.811271741718745,9.681443097313338,9.942428809435116,10.14021018654668,304
DENV3 VLP,New Caledonia,>59,4.924392284632747,9.393768689892209,9.800682257914232,9.970926413343333,10.13318073509977,40
DENV3 VLP,Peru,10-17,3.5091189845022246,5.641555329123795,8.173588840653686,9.345629353397332,10.26421190968865,153
DENV3 VLP,Peru,18-39,4.560329034275751,8.741640829025528,9.574686593889922,9.89627704010565,10.329051392537956,295
DENV3 VLP,Peru,40-59,4.362601217331444,9.372194596188322,9.693932428170053,9.915570989563257,10.226746498041054,142
DENV3 VLP,Peru,5-9,3.7573583440198624,4.992111477575412,5.814991863973228,8.009350205444042,10.060922459360324,126
DENV3 VLP,Peru,<5,4.349645761032065,5.706863176261935,6.516356249885229,8.370019071997275,10.074617334307604,56
DENV3 VLP,Peru,>59,6.255456803430868,9.56270658755319,9.858280352383737,9.961177094343869,10.258109819748272,108
DENV3 VLP,Senegal,10-17,4.673337844222691,5.932009174846022,7.019664905527232,7.914653976729534,10.017479483066644,280
DENV3 VLP,Senegal,18-39,5.0503791988929665,7.574738825590231,8.695338541936716,9.260161169602737,9.973842521738405,359
DENV3 VLP,Senegal,40-59,5.632768365709753,8.903064550095522,9.316978132904701,9.596614780365222,9.987004239371428,214
DENV3 VLP,Senegal,5-9,4.395272554186003,5.549074374079155,6.090698451605025,7.237353448394356,9.80331829928338,213
DENV3 VLP,Senegal,<5,3.3853259026035505,4.794057950118578,5.844688624161432,6.802078863509979,8.48629723139078,78
DENV3 VLP,Senegal,>59,4.62808125263457,8.985245554160166,9.282548760725687,9.477382891984213,9.932599161698828,75
DENV4 EDIII,French Guiana,18-39,3.99856852895058,5.5987291907614445,6.154179773653041,7.082157471322304,9.400056366489078,451
DENV4 EDIII,French Guiana,40-59,4.409237987378613,5.751252881235926,6.255630067824999,7.233706127637078,9.668333846352908,321
DENV4 EDIII,French Guiana,>59,5.354322675577599,5.776119540208446,5.805107972286531,6.606147376291944,7.99791085763158,15
DENV4 EDIII,New Caledonia,18-39,4.06326423121074,5.396702332058096,5.7418560311651765,6.224823559084751,7.642794988727962,256
DENV4 EDIII,New Caledonia,40-59,4.4417405434553565,5.3671638832167,5.747790877626031,6.205938022518787,8.115707302697354,304
DENV4 EDIII,New Caledonia,>59,4.835071398571621,5.484245596333003,5.88650772069248,6.295642032707642,7.941202251034199,40
DENV4 EDIII,Peru,10-17,3.980834370785785,5.002485618317766,5.4211959531759515,5.940564941835188,9.38519893057143,153
